id,name_ja,name_en,type_primary,type_secondary,color,shape,genus_ja,rarity,type_1,type_2,motif_1,motif_2,motif_3,motif_4,texture_1,texture_2,texture_3,texture_4,texture_5,expression_1,expression_2,decoration_1,decoration_2,decoration_3,atmosphere_1,atmosphere_2,atmosphere_3
207,グライガー,gligar,じめん,ひこう,purple,wings,とびさそりポケモン,通常,じめん,ひこう,いわ・つち・こうぶつ,とり・つばさ,,,ごつごつ・かたい,,,,,ものしずか・クール,,つばさ・はね,とげ・こうぶつ結晶,,ミステリアス,,
208,ハガネール,steelix,はがね,じめん,gray,squiggle,てつへびポケモン,通常,はがね,じめん,いわ・つち・こうぶつ,きんぞく・メカ,は虫類・ドラゴン,スライム・ぶよぶよ,ごつごつ・かたい,きんぞく・メタリック,うろこ,ねばねば・ぷにぷに,,とぼけた・ユニーク,,ほそながい,とげ・こうぶつ結晶,,かっこいい,,
209,ブルー,snubbull,フェアリー,,pink,humanoid,ようせいポケモン,通常,フェアリー,,ひとがた,フェアリー・せいれい,,,標準・なめらか,,,,,にこにこ・あどけない,,てあし・とくちょうてきなかお,ほうせき・かがやき,,かわいい,,
210,グランブル,granbull,フェアリー,,purple,upright,ようせいポケモン,通常,フェアリー,,フェアリー・せいれい,,,,標準・なめらか,,,,,にこにこ・あどけない,ものしずか・クール,ちょくりつのすがた,ほうせき・かがやき,,かわいい,ミステリアス,
211,ハリーセン,qwilfish,みず,どく,gray,fish,ふうせんポケモン,通常,みず,どく,みず・うみ,どく,,,つるつる・なめらか,ねばねば・ぷにぷに,みずみずしい・うるおい,,,とぼけた・ユニーク,,ひれ,みずのしぶき,とげ・ぶくぶく,ナチュラル,,
212,ハッサム,scizor,むし,はがね,red,bug-wings,はさみポケモン,通常,むし,はがね,きんぞく・メカ,むし,,,きんぞく・メタリック,こうかく・つや甲羅,,,,りりしい・するどい,,むしのはね,とげ・こうぶつ結晶,,かっこいい,,
213,ツボツボ,shuckle,むし,いわ,yellow,armor,はっこうポケモン,通常,むし,いわ,いわ・つち・こうぶつ,むし,,,ごつごつ・かたい,こうかく・つや甲羅,,,,にこにこ・あどけない,,よろい・こうら,とげ・こうぶつ結晶,,かわいい,,
214,ヘラクロス,heracross,むし,かくとう,blue,humanoid,１ぽんヅノポケモン,通常,むし,かくとう,むし,ひとがた,,,こうかく・つや甲羅,,,,,りりしい・するどい,ものしずか・クール,てあし・とくちょうてきなかお,,,ゆうかん,,
215,ニューラ,sneasel,あく,こおり,black,upright,かぎづめポケモン,通常,あく,こおり,こおり・ゆき,あく・やみ,,,つるつる・なめらか,こおり・つめたい,,,,りりしい・するどい,ものしずか・クール,ちょくりつのすがた,こおりのけっしょう,もや・かげ,かっこいい,ミステリアス,
216,ヒメグマ,teddiursa,ノーマル,,brown,upright,こぐまポケモン,通常,ノーマル,,その他・不定形,,,,標準・なめらか,,,,,ふつう・ナチュラル,,ちょくりつのすがた,,,ナチュラル,,
217,リングマ,ursaring,ノーマル,,brown,upright,とうみんポケモン,通常,ノーマル,,その他・不定形,,,,標準・なめらか,,,,,ふつう・ナチュラル,,ちょくりつのすがた,,,ナチュラル,,
218,マグマッグ,slugma,ほのお,,red,squiggle,ようがんポケモン,通常,ほのお,,ほのお・マグマ,スライム・ぶよぶよ,,,ねばねば・ぷにぷに,ほのお・ねっき,,,,りりしい・するどい,とぼけた・ユニーク,ほそながい,ほのおのかざり,,ナチュラル,,
219,マグカルゴ,magcargo,ほのお,いわ,red,squiggle,ようがんポケモン,通常,ほのお,いわ,ほのお・マグマ,いわ・つち・こうぶつ,スライム・ぶよぶよ,,ごつごつ・かたい,ねばねば・ぷにぷに,ほのお・ねっき,,,りりしい・するどい,とぼけた・ユニーク,ほそながい,ほのおのかざり,とげ・こうぶつ結晶,ナチュラル,,
220,ウリムー,swinub,こおり,じめん,brown,quadruped,いのぶたポケモン,通常,こおり,じめん,こおり・ゆき,いわ・つち・こうぶつ,けもの・じゅう,,つるつる・なめらか,ごつごつ・かたい,こおり・つめたい,,,ものしずか・クール,,よつあしのすがた,こおりのけっしょう,とげ・こうぶつ結晶,ナチュラル,,
221,イノムー,piloswine,こおり,じめん,brown,quadruped,いのししポケモン,通常,こおり,じめん,こおり・ゆき,いわ・つち・こうぶつ,けもの・じゅう,,つるつる・なめらか,ごつごつ・かたい,こおり・つめたい,,,ものしずか・クール,,よつあしのすがた,こおりのけっしょう,とげ・こうぶつ結晶,ナチュラル,,
222,サニーゴ,corsola,みず,いわ,pink,armor,さんごポケモン,通常,みず,いわ,みず・うみ,いわ・つち・こうぶつ,,,つるつる・なめらか,ごつごつ・かたい,こうかく・つや甲羅,みずみずしい・うるおい,,にこにこ・あどけない,,よろい・こうら,みずのしぶき,とげ・こうぶつ結晶,かわいい,,
223,テッポウオ,remoraid,みず,,gray,fish,ふんしゃポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,ふつう・ナチュラル,,ひれ,みずのしぶき,,ナチュラル,,
224,オクタン,octillery,みず,,red,tentacles,ふんしゃポケモン,通常,みず,,みず・うみ,スライム・ぶよぶよ,,,つるつる・なめらか,みずみずしい・うるおい,,,,りりしい・するどい,とぼけた・ユニーク,しょくしゅ・ひげ,みずのしぶき,,ナチュラル,,
225,デリバード,delibird,こおり,ひこう,red,wings,はこびやポケモン,通常,こおり,ひこう,こおり・ゆき,とり・つばさ,,,つるつる・なめらか,こおり・つめたい,,,,りりしい・するどい,ものしずか・クール,つばさ・はね,こおりのけっしょう,,ナチュラル,,
226,マンタイン,mantine,みず,ひこう,purple,wings,カイトポケモン,通常,みず,ひこう,みず・うみ,とり・つばさ,,,つるつる・なめらか,みずみずしい・うるおい,,,,ものしずか・クール,,つばさ・はね,みずのしぶき,,ミステリアス,,
227,エアームド,skarmory,はがね,ひこう,gray,wings,よろいどりポケモン,通常,はがね,ひこう,きんぞく・メカ,とり・つばさ,,,きんぞく・メタリック,,,,,ふつう・ナチュラル,,つばさ・はね,とげ・こうぶつ結晶,,かっこいい,,
228,デルビル,houndour,あく,ほのお,black,quadruped,ダークポケモン,通常,あく,ほのお,ほのお・マグマ,あく・やみ,,,ほのお・ねっき,,,,,りりしい・するどい,,よつあしのすがた,ほのおのかざり,もや・かげ,かっこいい,ミステリアス,
229,ヘルガー,houndoom,あく,ほのお,black,quadruped,ダークポケモン,通常,あく,ほのお,ほのお・マグマ,あく・やみ,,,ほのお・ねっき,,,,,りりしい・するどい,,よつあしのすがた,ほのおのかざり,もや・かげ,かっこいい,ミステリアス,
230,キングドラ,kingdra,みず,ドラゴン,blue,blob,ドラゴンポケモン,通常,みず,ドラゴン,みず・うみ,は虫類・ドラゴン,スライム・ぶよぶよ,,つるつる・なめらか,うろこ,ねばねば・ぷにぷに,みずみずしい・うるおい,,りりしい・するどい,ものしずか・クール,シンプル・そぼく,みずのしぶき,つの・うろこ模様,かっこいい,,
231,ゴマゾウ,phanpy,じめん,,blue,quadruped,ながはなポケモン,通常,じめん,,しょくぶつ,いわ・つち・こうぶつ,けもの・じゅう,,ごつごつ・かたい,,,,,ものしずか・クール,,よつあしのすがた,とげ・こうぶつ結晶,,ナチュラル,,
232,ドンファン,donphan,じめん,,gray,quadruped,よろいポケモン,通常,じめん,,いわ・つち・こうぶつ,けもの・じゅう,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,よつあしのすがた,とげ・こうぶつ結晶,,ナチュラル,,
233,ポリゴン２,porygon2,ノーマル,,red,legs,バーチャルポケモン,通常,ノーマル,,その他・不定形,,,,もこもこ・ふわふわ,,,,,りりしい・するどい,おだやか・やさしい,あし・つめ,,,おっとり,,
234,オドシシ,stantler,ノーマル,,brown,quadruped,おおツノポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,,よつあしのすがた,,,おっとり,,
235,ドーブル,smeargle,ノーマル,,white,upright,えかきポケモン,通常,ノーマル,,その他・不定形,,,,標準・なめらか,,,,,ふつう・ナチュラル,,ちょくりつのすがた,,,ナチュラル,,
236,バルキー,tyrogue,かくとう,,purple,humanoid,けんかポケモン,通常,かくとう,,ひとがた,,,,標準・なめらか,,,,,りりしい・するどい,ものしずか・クール,てあし・とくちょうてきなかお,,,ゆうかん,ミステリアス,
237,カポエラー,hitmontop,かくとう,,brown,upright,さかだちポケモン,通常,かくとう,,ひとがた,,,,標準・なめらか,,,,,りりしい・するどい,,ちょくりつのすがた,,,ゆうかん,,
238,ムチュール,smoochum,こおり,エスパー,pink,humanoid,くちづけポケモン,通常,こおり,エスパー,こおり・ゆき,ひとがた,エスパー・ふしぎ,,つるつる・なめらか,こおり・つめたい,,,,にこにこ・あどけない,ものしずか・クール,てあし・とくちょうてきなかお,こおりのけっしょう,ほうせき・かがやき,かわいい,ミステリアス,
239,エレキッド,elekid,でんき,,yellow,humanoid,でんきポケモン,通常,でんき,,でんき,ひとがた,,,おび電・スパーク,,,,,にこにこ・あどけない,,てあし・とくちょうてきなかお,でんきの模様・ギザギザ,,かわいい,,
240,ブビィ,magby,ほのお,,red,upright,ひだねポケモン,通常,ほのお,,ほのお・マグマ,,,,ほのお・ねっき,,,,,りりしい・するどい,,ちょくりつのすがた,ほのおのかざり,,かっこいい,ゆうかん,
241,ミルタンク,miltank,ノーマル,,pink,upright,ちちうしポケモン,通常,ノーマル,,けもの・じゅう,,,,標準・なめらか,,,,,にこにこ・あどけない,,ちょくりつのすがた,,,かわいい,,
242,ハピナス,blissey,ノーマル,,pink,humanoid,しあわせポケモン,通常,ノーマル,,ひとがた,,,,標準・なめらか,,,,,にこにこ・あどけない,,てあし・とくちょうてきなかお,,,かわいい,,
243,ライコウ,raikou,でんき,,yellow,quadruped,いかずちポケモン,伝説,でんき,,でんき,,,,おび電・スパーク,,,,,どうどう・威厳,にこにこ・あどけない,よつあしのすがた,でんきの模様・ギザギザ,,そうごん・でんせつ,かわいい,
244,エンテイ,entei,ほのお,,brown,quadruped,かざんポケモン,伝説,ほのお,,ほのお・マグマ,,,,ほのお・ねっき,,,,,どうどう・威厳,,よつあしのすがた,ほのおのかざり,,そうごん・でんせつ,,
245,スイクン,suicune,みず,,blue,quadruped,オーロラポケモン,伝説,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,どうどう・威厳,おだやか・やさしい,よつあしのすがた,みずのしぶき,,そうごん・でんせつ,おっとり,
246,ヨーギラス,larvitar,いわ,じめん,green,upright,いわはだポケモン,通常,いわ,じめん,いわ・つち・こうぶつ,,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,ちょくりつのすがた,とげ・こうぶつ結晶,,おっとり,,
247,サナギラス,pupitar,いわ,じめん,gray,squiggle,だんがんポケモン,通常,いわ,じめん,いわ・つち・こうぶつ,スライム・ぶよぶよ,,,ごつごつ・かたい,ねばねば・ぷにぷに,,,,とぼけた・ユニーク,,ほそながい,とげ・こうぶつ結晶,,ナチュラル,,
248,バンギラス,tyranitar,いわ,あく,green,upright,よろいポケモン,通常,いわ,あく,いわ・つち・こうぶつ,あく・やみ,,,ごつごつ・かたい,,,,,りりしい・するどい,,ちょくりつのすがた,もや・かげ,とげ・こうぶつ結晶,かっこいい,ミステリアス,おっとり
249,ルギア,lugia,エスパー,ひこう,white,wings,せんすいポケモン,伝説,エスパー,ひこう,とり・つばさ,エスパー・ふしぎ,,,標準・なめらか,,,,,どうどう・威厳,ものしずか・クール,つばさ・はね,ほうせき・かがやき,,そうごん・でんせつ,ミステリアス,
250,ホウオウ,ho-oh,ほのお,ひこう,red,wings,にじいろポケモン,伝説,ほのお,ひこう,ほのお・マグマ,とり・つばさ,,,ほのお・ねっき,,,,,どうどう・威厳,りりしい・するどい,つばさ・はね,ほのおのかざり,,そうごん・でんせつ,,
251,セレビィ,celebi,エスパー,くさ,green,humanoid,ときわたりポケモン,幻,エスパー,くさ,しょくぶつ,ひとがた,エスパー・ふしぎ,,はっぱ・しょくぶつ質,もや・はんとうめい,,,,どうどう・威厳,ものしずか・クール,てあし・とくちょうてきなかお,はっぱ・はな,ほうせき・かがやき,そうごん・でんせつ,ミステリアス,おっとり
252,キモリ,treecko,くさ,,green,upright,もりトカゲポケモン,通常,くさ,,しょくぶつ,は虫類・ドラゴン,,,うろこ,はっぱ・しょくぶつ質,,,,ふつう・ナチュラル,,ちょくりつのすがた,はっぱ・はな,,おっとり,,
253,ジュプトル,grovyle,くさ,,green,upright,もりトカゲポケモン,通常,くさ,,しょくぶつ,は虫類・ドラゴン,,,うろこ,はっぱ・しょくぶつ質,,,,ふつう・ナチュラル,,ちょくりつのすがた,はっぱ・はな,,おっとり,,
254,ジュカイン,sceptile,くさ,,green,upright,みつりんポケモン,通常,くさ,,しょくぶつ,,,,はっぱ・しょくぶつ質,,,,,ふつう・ナチュラル,,ちょくりつのすがた,はっぱ・はな,,おっとり,,
255,アチャモ,torchic,ほのお,,red,legs,ひよこポケモン,通常,ほのお,,ほのお・マグマ,,,,ほのお・ねっき,,,,,りりしい・するどい,,あし・つめ,ほのおのかざり,,ナチュラル,,
256,ワカシャモ,combusken,ほのお,かくとう,red,upright,わかどりポケモン,通常,ほのお,かくとう,ほのお・マグマ,ひとがた,,,ほのお・ねっき,,,,,りりしい・するどい,,ちょくりつのすがた,ほのおのかざり,,かっこいい,ゆうかん,
257,バシャーモ,blaziken,ほのお,かくとう,red,upright,もうかポケモン,通常,ほのお,かくとう,ほのお・マグマ,ひとがた,,,ほのお・ねっき,,,,,りりしい・するどい,,ちょくりつのすがた,ほのおのかざり,,かっこいい,ゆうかん,
258,ミズゴロウ,mudkip,みず,,blue,quadruped,ぬまうおポケモン,通常,みず,,みず・うみ,,,,つるつる・なめらか,みずみずしい・うるおい,,,,おだやか・やさしい,ものしずか・クール,よつあしのすがた,みずのしぶき,,おっとり,,
259,ヌマクロー,marshtomp,みず,じめん,blue,upright,ぬまうおポケモン,通常,みず,じめん,みず・うみ,いわ・つち・こうぶつ,,,つるつる・なめらか,ごつごつ・かたい,みずみずしい・うるおい,,,ものしずか・クール,,ちょくりつのすがた,みずのしぶき,とげ・こうぶつ結晶,ナチュラル,,
260,ラグラージ,swampert,みず,じめん,blue,upright,ぬまうおポケモン,通常,みず,じめん,みず・うみ,いわ・つち・こうぶつ,,,つるつる・なめらか,ごつごつ・かたい,みずみずしい・うるおい,,,ものしずか・クール,,ちょくりつのすがた,みずのしぶき,とげ・こうぶつ結晶,ナチュラル,,
261,ポチエナ,poochyena,あく,,gray,quadruped,かみつきポケモン,通常,あく,,あく・やみ,,,,標準・なめらか,,,,,りりしい・するどい,,よつあしのすがた,もや・かげ,,かっこいい,ミステリアス,
262,グラエナ,mightyena,あく,,gray,quadruped,かみつきポケモン,通常,あく,,あく・やみ,,,,標準・なめらか,,,,,りりしい・するどい,,よつあしのすがた,もや・かげ,,かっこいい,ミステリアス,
263,ジグザグマ,zigzagoon,ノーマル,,brown,quadruped,まめだぬきポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,,よつあしのすがた,,,おっとり,,
264,マッスグマ,linoone,ノーマル,,white,quadruped,とっしんポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,,よつあしのすがた,,,おっとり,,
265,ケムッソ,wurmple,むし,,red,armor,いもむしポケモン,通常,むし,,むし,,,,ごつごつ・かたい,こうかく・つや甲羅,,,,りりしい・するどい,,よろい・こうら,,,ナチュラル,,
266,カラサリス,silcoon,むし,,white,ball,さなぎポケモン,通常,むし,,むし,,,,こうかく・つや甲羅,,,,,にこにこ・あどけない,,まるいフォルム,,,かわいい,,
267,アゲハント,beautifly,むし,ひこう,yellow,bug-wings,ちょうちょポケモン,通常,むし,ひこう,むし,,,,こうかく・つや甲羅,,,,,にこにこ・あどけない,,むしのはね,つばさ・はね,,かわいい,,
268,マユルド,cascoon,むし,,purple,ball,さなぎポケモン,通常,むし,,むし,,,,こうかく・つや甲羅,,,,,にこにこ・あどけない,ものしずか・クール,まるいフォルム,,,かわいい,ミステリアス,
269,ドクケイル,dustox,むし,どく,green,bug-wings,どくがポケモン,通常,むし,どく,むし,どく,,,こうかく・つや甲羅,ねばねば・ぷにぷに,,,,とぼけた・ユニーク,,むしのはね,とげ・ぶくぶく,,おっとり,,
270,ハスボー,lotad,みず,くさ,green,armor,うきくさポケモン,通常,みず,くさ,しょくぶつ,みず・うみ,,,つるつる・なめらか,ごつごつ・かたい,こうかく・つや甲羅,みずみずしい・うるおい,はっぱ・しょくぶつ質,ふつう・ナチュラル,,よろい・こうら,はっぱ・はな,みずのしぶき,おっとり,,
271,ハスブレロ,lombre,みず,くさ,green,humanoid,ようきポケモン,通常,みず,くさ,しょくぶつ,みず・うみ,ひとがた,,つるつる・なめらか,みずみずしい・うるおい,はっぱ・しょくぶつ質,,,ふつう・ナチュラル,,てあし・とくちょうてきなかお,はっぱ・はな,みずのしぶき,おっとり,,
272,ルンパッパ,ludicolo,みず,くさ,green,humanoid,のうてんきポケモン,通常,みず,くさ,しょくぶつ,みず・うみ,ひとがた,,つるつる・なめらか,みずみずしい・うるおい,はっぱ・しょくぶつ質,,,ふつう・ナチュラル,,てあし・とくちょうてきなかお,はっぱ・はな,みずのしぶき,おっとり,,
273,タネボー,seedot,くさ,,brown,legs,どんぐりポケモン,通常,くさ,,しょくぶつ,,,,はっぱ・しょくぶつ質,,,,,おだやか・やさしい,,あし・つめ,はっぱ・はな,,おっとり,,
274,コノハナ,nuzleaf,くさ,あく,brown,humanoid,いじわるポケモン,通常,くさ,あく,しょくぶつ,ひとがた,あく・やみ,,はっぱ・しょくぶつ質,,,,,りりしい・するどい,,てあし・とくちょうてきなかお,はっぱ・はな,もや・かげ,かっこいい,ミステリアス,
275,ダーテング,shiftry,くさ,あく,brown,humanoid,よこしまポケモン,通常,くさ,あく,しょくぶつ,ひとがた,あく・やみ,,はっぱ・しょくぶつ質,,,,,りりしい・するどい,,てあし・とくちょうてきなかお,はっぱ・はな,もや・かげ,かっこいい,ミステリアス,
276,スバメ,taillow,ノーマル,ひこう,blue,wings,こツバメポケモン,通常,ノーマル,ひこう,とり・つばさ,,,,標準・なめらか,,,,,ものしずか・クール,,つばさ・はね,,,ナチュラル,,
277,オオスバメ,swellow,ノーマル,ひこう,blue,wings,ツバメポケモン,通常,ノーマル,ひこう,とり・つばさ,,,,標準・なめらか,,,,,ものしずか・クール,,つばさ・はね,,,ナチュラル,,
278,キャモメ,wingull,みず,ひこう,white,wings,うみねこポケモン,通常,みず,ひこう,みず・うみ,とり・つばさ,,,つるつる・なめらか,みずみずしい・うるおい,,,,ふつう・ナチュラル,,つばさ・はね,みずのしぶき,,ナチュラル,,
279,ペリッパー,pelipper,みず,ひこう,yellow,wings,みずどりポケモン,通常,みず,ひこう,みず・うみ,とり・つばさ,,,つるつる・なめらか,みずみずしい・うるおい,,,,にこにこ・あどけない,,つばさ・はね,みずのしぶき,,かわいい,,
280,ラルトス,ralts,エスパー,フェアリー,white,humanoid,きもちポケモン,通常,エスパー,フェアリー,ひとがた,エスパー・ふしぎ,フェアリー・せいれい,,標準・なめらか,,,,,にこにこ・あどけない,ものしずか・クール,てあし・とくちょうてきなかお,ほうせき・かがやき,,かわいい,ミステリアス,
281,キルリア,kirlia,エスパー,フェアリー,white,humanoid,かんじょうポケモン,通常,エスパー,フェアリー,ひとがた,エスパー・ふしぎ,フェアリー・せいれい,,標準・なめらか,,,,,にこにこ・あどけない,ものしずか・クール,てあし・とくちょうてきなかお,ほうせき・かがやき,,かわいい,ミステリアス,
282,サーナイト,gardevoir,エスパー,フェアリー,white,humanoid,ほうようポケモン,通常,エスパー,フェアリー,ひとがた,エスパー・ふしぎ,フェアリー・せいれい,,標準・なめらか,,,,,にこにこ・あどけない,ものしずか・クール,てあし・とくちょうてきなかお,ほうせき・かがやき,,かわいい,ミステリアス,
283,アメタマ,surskit,むし,みず,blue,armor,あめんぼポケモン,通常,むし,みず,みず・うみ,むし,,,つるつる・なめらか,ごつごつ・かたい,こうかく・つや甲羅,みずみずしい・うるおい,,ものしずか・クール,,よろい・こうら,みずのしぶき,,ナチュラル,,
284,アメモース,masquerain,むし,ひこう,blue,bug-wings,めだまポケモン,通常,むし,ひこう,むし,,,,こうかく・つや甲羅,,,,,ものしずか・クール,,むしのはね,つばさ・はね,,ナチュラル,,
285,キノココ,shroomish,くさ,,brown,legs,きのこポケモン,通常,くさ,,しょくぶつ,,,,はっぱ・しょくぶつ質,,,,,おだやか・やさしい,,あし・つめ,はっぱ・はな,,おっとり,,
286,キノガッサ,breloom,くさ,かくとう,green,upright,きのこポケモン,通常,くさ,かくとう,しょくぶつ,ひとがた,,,はっぱ・しょくぶつ質,,,,,りりしい・するどい,,ちょくりつのすがた,はっぱ・はな,,ゆうかん,おっとり,
287,ナマケロ,slakoth,ノーマル,,brown,quadruped,なまけものポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,,よつあしのすがた,,,おっとり,,
288,ヤルキモノ,vigoroth,ノーマル,,white,upright,あばれザルポケモン,通常,ノーマル,,その他・不定形,,,,標準・なめらか,,,,,ふつう・ナチュラル,,ちょくりつのすがた,,,ナチュラル,,
289,ケッキング,slaking,ノーマル,,brown,humanoid,ものぐさポケモン,通常,ノーマル,,ひとがた,,,,標準・なめらか,,,,,ふつう・ナチュラル,,てあし・とくちょうてきなかお,,,ナチュラル,,
290,ツチニン,nincada,むし,じめん,gray,armor,したづみポケモン,通常,むし,じめん,いわ・つち・こうぶつ,むし,,,ごつごつ・かたい,こうかく・つや甲羅,,,,ふつう・ナチュラル,,よろい・こうら,とげ・こうぶつ結晶,,ナチュラル,,
291,テッカニン,ninjask,むし,ひこう,yellow,bug-wings,しのびポケモン,通常,むし,ひこう,むし,,,,こうかく・つや甲羅,,,,,にこにこ・あどけない,,むしのはね,つばさ・はね,,かわいい,,
292,ヌケニン,shedinja,むし,ゴースト,brown,blob,ぬけがらポケモン,通常,むし,ゴースト,むし,ゴースト・れいたい,スライム・ぶよぶよ,,こうかく・つや甲羅,ねばねば・ぷにぷに,もや・はんとうめい,,,ものしずか・クール,とぼけた・ユニーク,シンプル・そぼく,もや・かげ,,ミステリアス,,
293,ゴニョニョ,whismur,ノーマル,,pink,upright,ささやきポケモン,通常,ノーマル,,その他・不定形,,,,標準・なめらか,,,,,にこにこ・あどけない,,ちょくりつのすがた,,,かわいい,,
294,ドゴーム,loudred,ノーマル,,blue,upright,おおごえポケモン,通常,ノーマル,,その他・不定形,,,,標準・なめらか,,,,,ものしずか・クール,,ちょくりつのすがた,,,ナチュラル,,
295,バクオング,exploud,ノーマル,,blue,upright,そうおんポケモン,通常,ノーマル,,みず・うみ,,,,標準・なめらか,,,,,ものしずか・クール,,ちょくりつのすがた,,,ナチュラル,,
296,マクノシタ,makuhita,かくとう,,yellow,humanoid,こんじょうポケモン,通常,かくとう,,ひとがた,,,,標準・なめらか,,,,,りりしい・するどい,にこにこ・あどけない,てあし・とくちょうてきなかお,,,かわいい,ゆうかん,
297,ハリテヤマ,hariyama,かくとう,,brown,humanoid,つっぱりポケモン,通常,かくとう,,ひとがた,,,,標準・なめらか,,,,,りりしい・するどい,,てあし・とくちょうてきなかお,,,ゆうかん,,
298,ルリリ,azurill,ノーマル,フェアリー,blue,legs,みずたまポケモン,通常,ノーマル,フェアリー,フェアリー・せいれい,,,,もこもこ・ふわふわ,,,,,にこにこ・あどけない,おだやか・やさしい,あし・つめ,ほうせき・かがやき,,かわいい,おっとり,
299,ノズパス,nosepass,いわ,,gray,humanoid,コンパスポケモン,通常,いわ,,いわ・つち・こうぶつ,ひとがた,,,ごつごつ・かたい,,,,,ふつう・ナチュラル,,てあし・とくちょうてきなかお,とげ・こうぶつ結晶,,ナチュラル,,
300,エネコ,skitty,ノーマル,,pink,quadruped,こねこポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,にこにこ・あどけない,おだやか・やさしい,よつあしのすがた,,,かわいい,おっとり,
301,エネコロロ,delcatty,ノーマル,,purple,quadruped,おすましポケモン,通常,ノーマル,,けもの・じゅう,,,,もこもこ・ふわふわ,,,,,おだやか・やさしい,ものしずか・クール,よつあしのすがた,,,ミステリアス,おっとり,
302,ヤミラミ,sableye,あく,ゴースト,purple,humanoid,くらやみポケモン,通常,あく,ゴースト,ひとがた,ゴースト・れいたい,あく・やみ,,ねばねば・ぷにぷに,もや・はんとうめい,,,,りりしい・するどい,ものしずか・クール,てあし・とくちょうてきなかお,もや・かげ,,かっこいい,ミステリアス,
303,クチート,mawile,はがね,フェアリー,black,humanoid,あざむきポケモン,通常,はがね,フェアリー,きんぞく・メカ,ひとがた,フェアリー・せいれい,,きんぞく・メタリック,,,,,にこにこ・あどけない,,てあし・とくちょうてきなかお,ほうせき・かがやき,とげ・こうぶつ結晶,かわいい,かっこいい,
304,ココドラ,aron,はがね,いわ,gray,quadruped,てつヨロイポケモン,通常,はがね,いわ,いわ・つち・こうぶつ,きんぞく・メカ,,,ごつごつ・かたい,きんぞく・メタリック,,,,ふつう・ナチュラル,,よつあしのすがた,とげ・こうぶつ結晶,,かっこいい,,
305,コドラ,lairon,はがね,いわ,gray,quadruped,てつヨロイポケモン,通常,はがね,いわ,いわ・つち・こうぶつ,きんぞく・メカ,,,ごつごつ・かたい,きんぞく・メタリック,,,,ふつう・ナチュラル,,よつあしのすがた,とげ・こうぶつ結晶,,かっこいい,,
306,ボスゴドラ,aggron,はがね,いわ,gray,upright,てつヨロイポケモン,通常,はがね,いわ,いわ・つち・こうぶつ,きんぞく・メカ,,,ごつごつ・かたい,きんぞく・メタリック,,,,ふつう・ナチュラル,,ちょくりつのすがた,とげ・こうぶつ結晶,,かっこいい,,
307,アサナン,meditite,かくとう,エスパー,blue,humanoid,めいそうポケモン,通常,かくとう,エスパー,ひとがた,エスパー・ふしぎ,,,標準・なめらか,,,,,りりしい・するどい,ものしずか・クール,てあし・とくちょうてきなかお,ほうせき・かがやき,,ゆうかん,ミステリアス,
308,チャーレム,medicham,かくとう,エスパー,red,humanoid,めいそうポケモン,通常,かくとう,エスパー,ひとがた,エスパー・ふしぎ,,,標準・なめらか,,,,,りりしい・するどい,ものしずか・クール,てあし・とくちょうてきなかお,ほうせき・かがやき,,かっこいい,ゆうかん,ミステリアス
309,ラクライ,electrike,でんき,,green,quadruped,いなずまポケモン,通常,でんき,,でんき,,,,おび電・スパーク,,,,,ふつう・ナチュラル,,よつあしのすがた,でんきの模様・ギザギザ,,おっとり,,
310,ライボルト,manectric,でんき,,yellow,quadruped,ほうでんポケモン,通常,でんき,,でんき,,,,おび電・スパーク,,,,,にこにこ・あどけない,,よつあしのすがた,でんきの模様・ギザギザ,,かわいい,,
311,プラスル,plusle,でんき,,yellow,upright,おうえんポケモン,通常,でんき,,でんき,,,,おび電・スパーク,,,,,にこにこ・あどけない,,ちょくりつのすがた,でんきの模様・ギザギザ,,かわいい,,
312,マイナン,minun,でんき,,yellow,upright,おうえんポケモン,通常,でんき,,でんき,,,,おび電・スパーク,,,,,にこにこ・あどけない,,ちょくりつのすがた,でんきの模様・ギザギザ,,かわいい,,
313,バルビート,volbeat,むし,,gray,upright,ほたるポケモン,通常,むし,,むし,,,,こうかく・つや甲羅,,,,,ふつう・ナチュラル,,ちょくりつのすがた,,,ナチュラル,,
314,イルミーゼ,illumise,むし,,purple,humanoid,ほたるポケモン,通常,むし,,むし,ひとがた,,,こうかく・つや甲羅,,,,,ものしずか・クール,,てあし・とくちょうてきなかお,,,ミステリアス,,
